id,state,state_original,under_18,total_arrests,total_arrests_per_capita,violent_crimes,violent_crimes_per_capita,property_crimes,property_crimes_per_capita,murder_and_nonnegligent_manslaughter,murder_and_nonnegligent_manslaughter_per_capita,forcible_rape,forcible_rape_per_capita,robbery,robbery_per_capita,aggravated_assault,aggravated_assault_per_capita,burglary,burglary_per_capita,larceny_theft,larceny_theft_per_capita,motor_vehicle_theft,motor_vehicle_theft_per_capita,arson,arson_per_capita,other_assults,other_assults_per_capita,forgery_and_counterfeiting,forgery_and_counterfeiting_per_capita,fraud,fraud_per_capita,embezzlement,embezzlement_per_capita,stolen_property,stolen_property_per_capita,vandalism,vandalism_per_capita,weapons_posession,weapons_posession_per_capita,prostitution,prostitution_per_capita,sex_offenses,sex_offenses_per_capita,drug_abuse_violations,drug_abuse_violations_per_capita,gambling,gambling_per_capita,offenses_against_family_and_children,offenses_against_family_and_children_per_capita,dui,dui_per_capita,liquor_laws,liquor_laws_per_capita,drunkenness,drunkenness_per_capita,disorderly_conduct,disorderly_conduct_per_capita,vagrancy,vagrancy_per_capita,all_others,all_others_per_capita,suspicion,suspicion_per_capita,curfew_and_loitering,curfew_and_loitering_per_capita,runaways,runaways_per_capita,number_of_agencies,estimated_population,year
141,MASSACHUSETTS,MASSACHUSETTS,1,14623,2.39,1613,0.26,2792,0.46,7,0.00,36,0.01,324,0.05,1246,0.20,611,0.10,1982,0.32,128,0.02,71,0.01,2390,0.39,15,0.00,31,0.01,5,0.00,230,0.04,757,0.12,218,0.04,4,0.00,93,0.02,663,0.11,2,0.00,164,0.03,78,0.01,975,0.16,231,0.04,1104,0.18,0,0.00,3246,0.53,8,0.00,4,0.00,NULL,0.00,319,6131066,2010
142,MASSACHUSETTS,MASSACHUSETTS,0,148282,24.19,12987,2.12,20037,3.27,87,0.01,383,0.06,1850,0.30,10667,1.74,3934,0.64,15199,2.48,768,0.13,136,0.02,22612,3.69,676,0.11,1422,0.23,148,0.02,1478,0.24,3541,0.58,1597,0.26,905,0.15,657,0.11,12086,1.97,15,0.00,2134,0.35,11634,1.90,4601,0.75,7443,1.21,7942,1.30,10,0.00,36299,5.92,54,0.01,4,0.00,NULL,0.00,0,6131066,2010
143,MICHIGAN,MICHIGAN,1,30678,3.32,1850,0.20,9107,0.98,14,0.00,107,0.01,655,0.07,1074,0.12,1563,0.17,6851,0.74,562,0.06,131,0.01,4004,0.43,17,0.00,342,0.04,9,0.00,354,0.04,911,0.10,647,0.07,8,0.00,252,0.03,3237,0.35,11,0.00,7,0.00,452,0.05,2759,0.30,6,0.00,1166,0.13,0,0.00,4653,0.50,0,0.00,886,0.10,NULL,0.00,505,9249545,2010
144,MICHIGAN,MICHIGAN,0,275769,29.81,13152,1.42,35262,3.81,187,0.02,665,0.07,2567,0.28,9733,1.05,6211,0.67,26782,2.90,1988,0.21,281,0.03,30457,3.29,764,0.08,5152,0.56,925,0.10,1799,0.19,3406,0.37,4120,0.45,446,0.05,1010,0.11,34513,3.73,118,0.01,2774,0.30,34882,3.77,16732,1.81,348,0.04,9709,1.05,332,0.04,78982,8.54,0,0.00,886,0.10,NULL,0.00,0,9249545,2010
145,MINNESOTA,MINNESOTA7,1,34201,6.45,0,0.00,8613,1.62,9,0.00,0,0.00,310,0.06,594,0.11,783,0.15,7501,1.41,229,0.04,100,0.02,3279,0.62,43,0.01,197,0.04,2,0.00,436,0.08,1401,0.26,526,0.10,13,0.00,273,0.05,2847,0.54,0,0.00,14,0.00,310,0.06,4287,0.81,0,0.00,3906,0.74,23,0.00,5027,0.95,0,0.00,2091,0.39,NULL,0.00,327,5303925,2010
146,MINNESOTA,MINNESOTA7,0,180703,34.07,0,0.00,28542,5.38,90,0.02,0,0.00,1037,0.20,4019,0.76,2833,0.53,24552,4.63,980,0.18,177,0.03,16873,3.18,1179,0.22,2721,0.51,39,0.01,1736,0.33,3908,0.74,1690,0.32,966,0.18,1463,0.28,17501,3.30,19,0.00,664,0.13,24978,4.71,22990,4.33,1,0.00,13095,2.47,554,0.10,34547,6.51,0,0.00,2091,0.39,NULL,0.00,0,5303925,2010
147,MISSISSIPPI,MISSISSIPPI,1,9038,5.76,213,0.14,2412,1.54,7,0.00,20,0.01,126,0.08,60,0.04,656,0.42,1680,1.07,64,0.04,12,0.01,1336,0.85,5,0.00,55,0.04,7,0.00,87,0.06,152,0.10,223,0.14,0,0.00,33,0.02,578,0.37,13,0.01,159,0.10,72,0.05,104,0.07,39,0.02,1475,0.94,0,0.00,1604,1.02,5,0.00,466,0.30,NULL,0.00,93,1569211,2010
148,MISSISSIPPI,MISSISSIPPI,0,109802,69.97,1973,1.26,11921,7.60,116,0.07,142,0.09,612,0.39,1103,0.70,2525,1.61,8970,5.72,352,0.22,74,0.05,11391,7.26,662,0.42,1662,1.06,497,0.32,662,0.42,1071,0.68,959,0.61,149,0.10,393,0.25,11004,7.01,126,0.08,3480,2.22,11005,7.01,1858,1.18,5200,3.31,7081,4.51,136,0.09,38018,24.23,88,0.06,466,0.30,NULL,0.00,0,1569211,2010
149,MISSOURI,MISSOURI,1,34168,6.13,1326,0.24,9199,1.65,25,0.00,45,0.01,405,0.07,851,0.15,1309,0.23,7504,1.35,317,0.06,69,0.01,5393,0.97,35,0.01,65,0.01,9,0.00,516,0.09,1492,0.27,416,0.07,3,0.00,426,0.08,3081,0.55,4,0.00,80,0.01,312,0.06,1899,0.34,16,0.00,2188,0.39,13,0.00,5748,1.03,0,0.00,1947,0.35,NULL,0.00,379,5574070,2010
150,MISSOURI,MISSOURI,0,289495,51.94,10219,1.83,40653,7.29,145,0.03,374,0.07,1851,0.33,7849,1.41,6066,1.09,32812,5.89,1473,0.26,302,0.05,29970,5.38,1986,0.36,2894,0.52,230,0.04,2847,0.51,5387,0.97,3294,0.59,338,0.06,2010,0.36,33964,6.09,99,0.02,4138,0.74,29655,5.32,10241,1.84,553,0.10,12951,2.32,219,0.04,95900,17.20,0,0.00,1947,0.35,NULL,0.00,0,5574070,2010
151,MONTANA,MONTANA,1,5552,6.46,104,0.12,1363,1.59,0,0.00,6,0.01,14,0.02,84,0.10,78,0.09,1193,1.39,73,0.09,19,0.02,562,0.65,2,0.00,9,0.01,1,0.00,5,0.01,292,0.34,20,0.02,0,0.00,14,0.02,351,0.41,0,0.00,48,0.06,49,0.06,1033,1.20,0,0.00,566,0.66,0,0.00,774,0.90,0,0.00,359,0.42,NULL,0.00,92,858976,2010
152,MONTANA,MONTANA,0,25058,29.17,760,0.88,3719,4.33,9,0.01,25,0.03,54,0.06,672,0.78,233,0.27,3259,3.79,198,0.23,29,0.03,3270,3.81,38,0.04,153,0.18,21,0.02,15,0.02,801,0.93,83,0.10,1,0.00,66,0.08,1494,1.74,0,0.00,347,0.40,3659,4.26,3040,3.54,0,0.00,2830,3.29,4,0.00,4398,5.12,0,0.00,359,0.42,NULL,0.00,0,858976,2010
153,NEBRASKA,NEBRASKA,1,13662,8.33,193,0.12,3414,2.08,3,0.00,26,0.02,75,0.05,89,0.05,260,0.16,3022,1.84,102,0.06,30,0.02,1921,1.17,13,0.01,84,0.05,4,0.00,154,0.09,1062,0.65,153,0.09,1,0.00,100,0.06,1368,0.83,1,0.00,21,0.01,205,0.12,1748,1.07,0,0.00,736,0.45,1,0.00,2191,1.34,0,0.00,292,0.18,NULL,0.00,199,1641088,2010
154,NEBRASKA,NEBRASKA,0,83132,50.66,2039,1.24,10081,6.14,60,0.04,163,0.10,332,0.20,1484,0.90,863,0.53,8782,5.35,358,0.22,78,0.05,8870,5.41,497,0.30,1425,0.87,54,0.03,790,0.48,2807,1.71,870,0.53,148,0.09,609,0.37,10177,6.20,10,0.01,1386,0.84,12488,7.61,10526,6.41,0,0.00,3730,2.27,37,0.02,16296,9.93,0,0.00,292,0.18,NULL,0.00,0,1641088,2010
155,NEVADA,NEVADA,1,20239,8.44,781,0.33,3891,1.62,4,0.00,17,0.01,291,0.12,469,0.20,560,0.23,3220,1.34,74,0.03,37,0.02,2462,1.03,6,0.00,38,0.02,3,0.00,231,0.10,1214,0.51,273,0.11,52,0.02,135,0.06,2030,0.85,2,0.00,9,0.00,84,0.04,1867,0.78,58,0.02,1014,0.42,34,0.01,3890,1.62,1,0.00,2164,0.90,NULL,0.00,32,2397300,2010
156,NEVADA,NEVADA,0,152050,63.43,6277,2.62,15672,6.54,113,0.05,143,0.06,1576,0.66,4445,1.85,2521,1.05,12513,5.22,538,0.22,100,0.04,16820,7.02,880,0.37,1545,0.64,408,0.17,1494,0.62,2514,1.05,1597,0.67,3738,1.56,1355,0.57,16268,6.79,19,0.01,1327,0.55,13412,5.59,8557,3.57,228,0.10,2634,1.10,1686,0.70,53453,22.30,2,0.00,2164,0.90,NULL,0.00,0,2397300,2010
157,NEW HAMPSHIRE,NEW HAMPSHIRE,1,6675,5.83,113,0.10,998,0.87,0,0.00,10,0.01,28,0.02,75,0.07,117,0.10,836,0.73,25,0.02,20,0.02,1138,0.99,4,0.00,28,0.02,0,0.00,131,0.11,371,0.32,20,0.02,0,0.00,41,0.04,771,0.67,0,0.00,12,0.01,72,0.06,799,0.70,208,0.18,254,0.22,0,0.00,1698,1.48,0,0.00,17,0.01,NULL,0.00,149,1144113,2010
158,NEW HAMPSHIRE,NEW HAMPSHIRE,0,46438,40.59,765,0.67,4200,3.67,5,0.00,63,0.06,187,0.16,510,0.45,587,0.51,3507,3.07,69,0.06,37,0.03,6438,5.63,211,0.18,762,0.67,38,0.03,663,0.58,1284,1.12,116,0.10,24,0.02,162,0.14,3915,3.42,5,0.00,178,0.16,4355,3.81,4411,3.86,3602,3.15,1450,1.27,52,0.05,13790,12.05,0,0.00,17,0.01,NULL,0.00,0,1144113,2010
159,NEW JERSEY,NEW JERSEY,1,35989,4.19,2274,0.26,6885,0.80,25,0.00,65,0.01,1067,0.12,1117,0.13,1118,0.13,5472,0.64,146,0.02,149,0.02,3049,0.35,43,0.01,77,0.01,3,0.00,652,0.08,1734,0.20,1109,0.13,15,0.00,267,0.03,4837,0.56,18,0.00,80,0.01,298,0.03,2032,0.24,0,0.00,3319,0.39,20,0.00,5858,0.68,0,0.00,3419,0.40,NULL,0.00,513,8598088,2010
160,NEW JERSEY,NEW JERSEY,0,351747,40.91,12663,1.47,33508,3.90,254,0.03,313,0.04,3825,0.44,8271,0.96,5951,0.69,26635,3.10,642,0.07,280,0.03,26206,3.05,1681,0.20,3798,0.44,169,0.02,3182,0.37,5488,0.64,4300,0.50,1489,0.17,1441,0.17,49072,5.71,106,0.01,13284,1.55,26016,3.03,6640,0.77,0,0.00,19974,2.32,839,0.10,138472,16.11,0,0.00,3419,0.40,NULL,0.00,0,8598088,2010
161,NEW MEXICO,NEW MEXICO,1,11787,6.52,484,0.27,3000,1.66,8,0.00,28,0.02,44,0.02,404,0.22,340,0.19,2502,1.38,112,0.06,46,0.03,1722,0.95,9,0.01,49,0.03,9,0.01,82,0.05,398,0.22,242,0.13,5,0.00,34,0.02,1628,0.90,8,0.00,34,0.02,131,0.07,857,0.47,13,0.01,621,0.34,0,0.00,2439,1.35,12,0.01,10,0.01,NULL,0.00,80,1807829,2010
162,NEW MEXICO,NEW MEXICO,0,110709,61.24,4316,2.39,12362,6.84,86,0.05,122,0.07,330,0.18,3778,2.09,1636,0.91,10178,5.63,384,0.21,164,0.09,10545,5.83,296,0.16,613,0.34,207,0.11,585,0.32,1368,0.76,708,0.39,347,0.19,210,0.12,8814,4.88,37,0.02,1351,0.75,11307,6.25,5189,2.87,845,0.47,3522,1.95,50,0.03,47950,26.52,77,0.04,10,0.01,NULL,0.00,0,1807829,2010
163,NEW YORK,NEW YORK4,1,38765,4.04,2189,0.23,10733,1.12,21,0.00,80,0.01,888,0.09,1200,0.13,1917,0.20,8249,0.86,465,0.05,102,0.01,4898,0.51,82,0.01,307,0.03,4,0.00,928,0.10,3381,0.35,571,0.06,5,0.00,717,0.07,5009,0.52,8,0.00,66,0.01,208,0.02,788,0.08,0,0.00,2081,0.22,41,0.00,6749,0.70,0,0.00,0,0.00,NULL,0.00,528,9600548,2010
164,NEW YORK,NEW YORK4,0,338474,35.26,13833,1.44,56095,5.84,234,0.02,503,0.05,3372,0.35,9724,1.01,8256,0.86,45462,4.74,2051,0.21,326,0.03,37980,3.96,2742,0.29,6487,0.68,103,0.01,5008,0.52,16304,1.70,3699,0.39,783,0.08,3708,0.39,62519,6.51,147,0.02,623,0.06,36578,3.81,4620,0.48,0,0.00,14017,1.46,868,0.09,72360,7.54,0,0.00,0,0.00,NULL,0.00,0,9600548,2010
165,NORTH CAROLINA,NORTH CAROLINA,1,36762,4.66,1763,0.22,9830,1.25,51,0.01,82,0.01,608,0.08,1022,0.13,2677,0.34,6830,0.87,208,0.03,115,0.01,7100,0.90,36,0.00,386,0.05,26,0.00,526,0.07,1440,0.18,1433,0.18,12,0.00,193,0.02,2830,0.36,4,0.00,73,0.01,460,0.06,1216,0.15,0,0.00,3592,0.46,0,0.00,5842,0.74,0,0.00,0,0.00,NULL,0.00,292,7886978,2010
166,NORTH CAROLINA,NORTH CAROLINA,0,425700,53.98,18611,2.36,60533,7.68,553,0.07,598,0.08,3671,0.47,13789,1.75,15196,1.93,43788,5.55,1180,0.15,369,0.05,54262,6.88,2064,0.26,17435,2.21,1473,0.19,4543,0.58,7407,0.94,6727,0.85,1145,0.15,1504,0.19,33170,4.21,81,0.01,6577,0.83,50907,6.45,9634,1.22,0,0.00,13958,1.77,279,0.04,135390,17.17,0,0.00,0,0.00,NULL,0.00,0,7886978,2010
167,NORTH DAKOTA,NORTH DAKOTA,1,5075,8.38,54,0.09,991,1.64,0,0.00,15,0.02,5,0.01,34,0.06,68,0.11,872,1.44,47,0.08,4,0.01,372,0.61,5,0.01,14,0.02,2,0.00,59,0.10,222,0.37,13,0.02,0,0.00,32,0.05,336,0.55,0,0.00,49,0.08,30,0.05,808,1.33,1,0.00,858,1.42,0,0.00,980,1.62,0,0.00,249,0.41,NULL,0.00,81,605751,2010
168,NORTH DAKOTA,NORTH DAKOTA,0,24900,41.11,428,0.71,2820,4.66,7,0.01,39,0.06,31,0.05,351,0.58,232,0.38,2449,4.04,129,0.21,10,0.02,1846,3.05,77,0.13,613,1.01,35,0.06,143,0.24,475,0.78,118,0.19,5,0.01,82,0.14,1938,3.20,0,0.00,113,0.19,3945,6.51,5072,8.37,196,0.32,2167,3.58,1,0.00,4577,7.56,0,0.00,249,0.41,NULL,0.00,0,605751,2010
169,OHIO,OHIO,1,33821,3.96,1037,0.12,7187,0.84,15,0.00,83,0.01,558,0.07,381,0.04,1282,0.15,5547,0.65,271,0.03,87,0.01,6234,0.73,32,0.00,153,0.02,3,0.00,492,0.06,1468,0.17,499,0.06,8,0.00,224,0.03,2538,0.30,6,0.00,499,0.06,136,0.02,1848,0.22,61,0.01,2789,0.33,1,0.00,7334,0.86,5,0.00,1267,0.15,NULL,0.00,412,8539835,2010
170,OHIO,OHIO,0,272655,31.93,7424,0.87,38592,4.52,183,0.02,511,0.06,2790,0.33,3940,0.46,6725,0.79,30710,3.60,935,0.11,222,0.03,36172,4.24,1509,0.18,2902,0.34,37,0.00,3436,0.40,4516,0.53,3228,0.38,1724,0.20,799,0.09,31465,3.68,45,0.01,4172,0.49,36259,4.25,11723,1.37,3602,0.42,19318,2.26,39,0.00,64347,7.53,79,0.01,1267,0.15,NULL,0.00,0,8539835,2010
171,OKLAHOMA,OKLAHOMA,1,16365,4.42,596,0.16,4671,1.26,21,0.01,23,0.01,135,0.04,417,0.11,759,0.20,3700,1.00,94,0.03,118,0.03,1174,0.32,24,0.01,42,0.01,20,0.01,320,0.09,467,0.13,262,0.07,4,0.00,76,0.02,1706,0.46,6,0.00,76,0.02,163,0.04,362,0.10,665,0.18,1062,0.29,0,0.00,2695,0.73,0,0.00,1974,0.53,NULL,0.00,269,3706617,2010
172,OKLAHOMA,OKLAHOMA,0,153958,41.54,5660,1.53,18604,5.02,161,0.04,243,0.07,761,0.21,4495,1.21,3017,0.81,14892,4.02,442,0.12,253,0.07,9387,2.53,795,0.21,2278,0.61,487,0.13,2233,0.60,1431,0.39,1922,0.52,247,0.07,660,0.18,19714,5.32,46,0.01,895,0.24,17446,4.71,2551,0.69,21859,5.90,2846,0.77,1111,0.30,41812,11.28,0,0.00,1974,0.53,NULL,0.00,0,3706617,2010
173,OREGON,OREGON,1,20820,6.24,499,0.15,5559,1.67,4,0.00,19,0.01,160,0.05,316,0.09,535,0.16,4718,1.41,162,0.05,144,0.04,1596,0.48,16,0.00,96,0.03,0,0.00,63,0.02,1517,0.45,187,0.06,5,0.00,122,0.04,2409,0.72,0,0.00,8,0.00,117,0.04,2878,0.86,0,0.00,1314,0.39,0,0.00,2930,0.88,0,0.00,1504,0.45,NULL,0.00,128,3337173,2010
174,OREGON,OREGON,0,123440,36.99,4013,1.20,23706,7.10,82,0.02,222,0.07,971,0.29,2738,0.82,2343,0.70,19943,5.98,1165,0.35,255,0.08,12414,3.72,745,0.22,1586,0.48,37,0.01,339,0.10,4438,1.33,1491,0.45,296,0.09,1102,0.33,15600,4.67,1,0.00,468,0.14,13600,4.08,14350,4.30,0,0.00,9421,2.82,5,0.00,18324,5.49,0,0.00,1504,0.45,NULL,0.00,0,3337173,2010
175,PENNSYLVANIA,PENNSYLVANIA,1,81412,6.62,4486,0.36,11054,0.90,44,0.00,173,0.01,1709,0.14,2560,0.21,1708,0.14,8491,0.69,621,0.05,234,0.02,7825,0.64,75,0.01,214,0.02,39,0.00,498,0.04,3289,0.27,1251,0.10,8,0.00,578,0.05,5223,0.42,4,0.00,33,0.00,459,0.04,5758,0.47,305,0.02,14824,1.21,130,0.01,6193,0.50,0,0.00,19166,1.56,NULL,0.00,1197,12300834,2010
176,PENNSYLVANIA,PENNSYLVANIA,0,452862,36.82,24263,1.97,58803,4.78,556,0.05,975,0.08,6896,0.56,15836,1.29,9389,0.76,46175,3.75,2595,0.21,644,0.05,48237,3.92,2703,0.22,7404,0.60,400,0.03,2792,0.23,10642,0.87,4293,0.35,1958,0.16,2681,0.22,55858,4.54,139,0.01,1206,0.10,51402,4.18,22405,1.82,24949,2.03,58285,4.74,1338,0.11,53938,4.38,0,0.00,19166,1.56,NULL,0.00,0,12300834,2010
177,RHODE ISLAND,RHODE ISLAND,1,5033,4.84,207,0.20,943,0.91,0,0.00,20,0.02,72,0.07,115,0.11,227,0.22,646,0.62,39,0.04,31,0.03,716,0.69,3,0.00,19,0.02,7,0.01,67,0.06,411,0.39,152,0.15,1,0.00,33,0.03,483,0.46,0,0.00,79,0.08,22,0.02,98,0.09,0,0.00,939,0.90,0,0.00,849,0.82,0,0.00,4,0.00,NULL,0.00,47,1040938,2010
178,RHODE ISLAND,RHODE ISLAND,0,35893,34.48,946,0.91,3785,3.64,9,0.01,61,0.06,270,0.26,606,0.58,834,0.80,2748,2.64,151,0.15,52,0.05,4815,4.63,143,0.14,585,0.56,110,0.11,393,0.38,1305,1.25,408,0.39,103,0.10,107,0.10,3782,3.63,0,0.00,101,0.10,2574,2.47,1162,1.12,17,0.02,3376,3.24,0,0.00,12177,11.70,0,0.00,4,0.00,NULL,0.00,0,1040938,2010
179,SOUTH CAROLINA,SOUTH CAROLINA,1,19258,4.38,850,0.19,5068,1.15,18,0.00,47,0.01,219,0.05,566,0.13,968,0.22,3949,0.90,131,0.03,20,0.00,3159,0.72,24,0.01,84,0.02,7,0.00,227,0.05,712,0.16,519,0.12,2,0.00,119,0.03,2679,0.61,0,0.00,18,0.00,122,0.03,726,0.17,115,0.03,2563,0.58,0,0.00,2149,0.49,0,0.00,115,0.03,NULL,0.00,404,4393409,2010
180,SOUTH CAROLINA,SOUTH CAROLINA,0,195496,44.50,8819,2.01,26256,5.98,239,0.05,305,0.07,1486,0.34,6789,1.55,4484,1.02,20805,4.74,838,0.19,129,0.03,21652,4.93,1676,0.38,7358,1.67,403,0.09,2063,0.47,3386,0.77,2406,0.55,624,0.14,562,0.13,30435,6.93,321,0.07,1136,0.26,19245,4.38,9613,2.19,11706,2.66,15479,3.52,961,0.22,31280,7.12,0,0.00,115,0.03,NULL,0.00,0,4393409,2010
181,SOUTH DAKOTA,SOUTH DAKOTA,1,4833,7.64,74,0.12,1235,1.95,0,0.00,6,0.01,7,0.01,61,0.10,75,0.12,1118,1.77,36,0.06,6,0.01,461,0.73,11,0.02,32,0.05,2,0.00,27,0.04,203,0.32,66,0.10,2,0.00,20,0.03,513,0.81,0,0.00,104,0.16,72,0.11,1058,1.67,10,0.02,328,0.52,0,0.00,419,0.66,0,0.00,196,0.31,NULL,0.00,95,632552,2010
182,SOUTH DAKOTA,SOUTH DAKOTA,0,26717,42.24,548,0.87,3419,5.41,11,0.02,47,0.07,39,0.06,451,0.71,353,0.56,2942,4.65,112,0.18,12,0.02,3469,5.48,102,0.16,598,0.95,32,0.05,94,0.15,537,0.85,162,0.26,22,0.03,57,0.09,2903,4.59,0,0.00,254,0.40,4883,7.72,5066,8.01,68,0.11,1765,2.79,171,0.27,2371,3.75,0,0.00,196,0.31,NULL,0.00,0,632552,2010
183,TENNESSEE,TENNESSEE,1,33399,6.77,2008,0.41,7084,1.44,16,0.00,59,0.01,526,0.11,1407,0.29,1444,0.29,5216,1.06,329,0.07,95,0.02,5511,1.12,49,0.01,169,0.03,6,0.00,71,0.01,1379,0.28,628,0.13,17,0.00,190,0.04,3098,0.63,96,0.02,51,0.01,114,0.02,857,0.17,253,0.05,3617,0.73,0,0.00,6263,1.27,0,0.00,1938,0.39,NULL,0.00,397,4932498,2010
184,TENNESSEE,TENNESSEE,0,327693,66.44,14979,3.04,40437,8.20,253,0.05,335,0.07,2296,0.47,12095,2.45,6384,1.29,32097,6.51,1737,0.35,219,0.04,29574,6.00,2478,0.50,6438,1.31,719,0.15,775,0.16,4306,0.87,3109,0.63,2387,0.48,737,0.15,37512,7.61,408,0.08,2359,0.48,20589,4.17,6102,1.24,17104,3.47,9884,2.00,35,0.01,125823,25.51,0,0.00,1938,0.39,NULL,0.00,0,4932498,2010
185,TEXAS,TEXAS,1,145129,5.84,4325,0.17,31130,1.25,58,0.00,237,0.01,1372,0.06,2658,0.11,4779,0.19,25342,1.02,823,0.03,186,0.01,21861,0.88,158,0.01,317,0.01,22,0.00,157,0.01,4598,0.18,1200,0.05,92,0.00,599,0.02,15883,0.64,21,0.00,47,0.00,866,0.03,4646,0.19,3048,0.12,19936,0.80,773,0.03,26991,1.09,0,0.00,8459,0.34,NULL,0.00,1007,24862112,2010
186,TEXAS,TEXAS,0,1120190,45.06,33072,1.33,139877,5.63,767,0.03,1851,0.07,7612,0.31,22842,0.92,19493,0.78,115161,4.63,4656,0.19,567,0.02,112198,4.51,6958,0.28,13033,0.52,522,0.02,908,0.04,13205,0.53,10664,0.43,7554,0.30,4301,0.17,136966,5.51,624,0.03,5414,0.22,93533,3.76,26607,1.07,130295,5.24,37961,1.53,2184,0.09,335855,13.51,0,0.00,8459,0.34,NULL,0.00,0,24862112,2010
187,UTAH,UTAH,1,23810,8.92,311,0.12,6019,2.25,2,0.00,52,0.02,63,0.02,194,0.07,332,0.12,5541,2.08,108,0.04,38,0.01,2095,0.78,21,0.01,49,0.02,1,0.00,134,0.05,1762,0.66,342,0.13,16,0.01,284,0.11,1894,0.71,0,0.00,31,0.01,96,0.04,2108,0.79,170,0.06,1805,0.68,54,0.02,5443,2.04,0,0.00,1175,0.44,NULL,0.00,116,2669959,2010
188,UTAH,UTAH,0,125124,46.86,2070,0.78,20683,7.75,43,0.02,238,0.09,444,0.17,1345,0.50,1406,0.53,18872,7.07,325,0.12,80,0.03,11330,4.24,953,0.36,1091,0.41,20,0.01,774,0.29,4300,1.61,1260,0.47,414,0.16,848,0.32,10728,4.02,1,0.00,1562,0.59,7170,2.69,10063,3.77,4337,1.62,5224,1.96,212,0.08,40909,15.32,0,0.00,1175,0.44,NULL,0.00,0,2669959,2010
189,VERMONT,VERMONT,1,1030,1.89,36,0.07,255,0.47,0,0.00,14,0.03,0,0.00,22,0.04,58,0.11,170,0.31,18,0.03,9,0.02,185,0.34,2,0.00,2,0.00,2,0.00,12,0.02,83,0.15,5,0.01,0,0.00,4,0.01,102,0.19,0,0.00,4,0.01,22,0.04,126,0.23,1,0.00,59,0.11,0,0.00,130,0.24,0,0.00,0,0.00,NULL,0.00,67,545701,2010
190,VERMONT,VERMONT,0,11458,21.00,469,0.86,1612,2.95,6,0.01,77,0.14,19,0.03,367,0.67,306,0.56,1208,2.21,80,0.15,18,0.03,1346,2.47,50,0.09,225,0.41,37,0.07,105,0.19,339,0.62,9,0.02,5,0.01,14,0.03,1156,2.12,0,0.00,293,0.54,2461,4.51,428,0.78,3,0.01,553,1.01,0,0.00,2353,4.31,0,0.00,0,0.00,NULL,0.00,0,545701,2010
191,VIRGINIA,VIRGINIA,1,31261,3.98,915,0.12,6221,0.79,17,0.00,44,0.01,382,0.05,472,0.06,825,0.10,5065,0.64,215,0.03,116,0.01,5069,0.64,40,0.01,154,0.02,22,0.00,162,0.02,1019,0.13,434,0.06,2,0.00,240,0.03,2539,0.32,1,0.00,57,0.01,159,0.02,2119,0.27,218,0.03,1172,0.15,0,0.00,7981,1.01,0,0.00,2737,0.35,NULL,0.00,329,7864147,2010
192,VIRGINIA,VIRGINIA,0,353473,44.95,7272,0.92,36689,4.67,293,0.04,366,0.05,2005,0.26,4608,0.59,4486,0.57,30893,3.93,1045,0.13,265,0.03,42988,5.47,2268,0.29,7425,0.94,1646,0.21,999,0.13,4719,0.60,3777,0.48,689,0.09,1217,0.15,33666,4.28,78,0.01,2072,0.26,28680,3.65,13618,1.73,34766,4.42,5701,0.72,233,0.03,122233,15.54,0,0.00,2737,0.35,NULL,0.00,0,7864147,2010
193,WASHINGTON,WASHINGTON,1,23325,4.43,1172,0.22,6678,1.27,6,0.00,86,0.02,426,0.08,654,0.12,1126,0.21,5192,0.99,272,0.05,88,0.02,3786,0.72,25,0.00,40,0.01,1,0.00,278,0.05,1656,0.31,509,0.10,33,0.01,154,0.03,2615,0.50,3,0.00,11,0.00,384,0.07,2354,0.45,2,0.00,570,0.11,19,0.00,3001,0.57,0,0.00,34,0.01,NULL,0.00,216,5269545,2010
194,WASHINGTON,WASHINGTON,0,217761,41.32,7627,1.45,32414,6.15,108,0.02,583,0.11,1898,0.36,5038,0.96,5059,0.96,25895,4.91,1237,0.23,223,0.04,26736,5.07,1238,0.23,954,0.18,85,0.02,2489,0.47,6292,1.19,2541,0.48,836,0.16,876,0.17,20644,3.92,7,0.00,562,0.11,34098,6.47,8434,1.60,10,0.00,4835,0.92,54,0.01,66995,12.71,0,0.00,34,0.01,NULL,0.00,0,5269545,2010
195,WEST VIRGINIA,WEST VIRGINIA,1,1954,1.31,84,0.06,491,0.33,2,0.00,5,0.00,15,0.01,62,0.04,55,0.04,409,0.27,22,0.01,5,0.00,352,0.24,7,0.00,3,0.00,1,0.00,13,0.01,81,0.05,11,0.01,0,0.00,8,0.01,222,0.15,0,0.00,0,0.00,17,0.01,119,0.08,12,0.01,59,0.04,0,0.00,410,0.28,0,0.00,64,0.04,NULL,0.00,154,1488466,2010
196,WEST VIRGINIA,WEST VIRGINIA,0,46370,31.15,1889,1.27,5960,4.00,26,0.02,60,0.04,178,0.12,1625,1.09,875,0.59,4839,3.25,193,0.13,53,0.04,6347,4.26,434,0.29,802,0.54,139,0.09,345,0.23,822,0.55,310,0.21,114,0.08,125,0.08,6235,4.19,10,0.01,87,0.06,4922,3.31,1711,1.15,3388,2.28,1098,0.74,7,0.00,11561,7.77,0,0.00,64,0.04,NULL,0.00,0,1488466,2010
