id,state,state_original,under_18,total_arrests,total_arrests_per_capita,violent_crimes,violent_crimes_per_capita,property_crimes,property_crimes_per_capita,murder_and_nonnegligent_manslaughter,murder_and_nonnegligent_manslaughter_per_capita,forcible_rape,forcible_rape_per_capita,robbery,robbery_per_capita,aggravated_assault,aggravated_assault_per_capita,burglary,burglary_per_capita,larceny_theft,larceny_theft_per_capita,motor_vehicle_theft,motor_vehicle_theft_per_capita,arson,arson_per_capita,other_assults,other_assults_per_capita,forgery_and_counterfeiting,forgery_and_counterfeiting_per_capita,fraud,fraud_per_capita,embezzlement,embezzlement_per_capita,stolen_property,stolen_property_per_capita,vandalism,vandalism_per_capita,weapons_posession,weapons_posession_per_capita,prostitution,prostitution_per_capita,sex_offenses,sex_offenses_per_capita,drug_abuse_violations,drug_abuse_violations_per_capita,gambling,gambling_per_capita,offenses_against_family_and_children,offenses_against_family_and_children_per_capita,dui,dui_per_capita,liquor_laws,liquor_laws_per_capita,drunkenness,drunkenness_per_capita,disorderly_conduct,disorderly_conduct_per_capita,vagrancy,vagrancy_per_capita,all_others,all_others_per_capita,suspicion,suspicion_per_capita,curfew_and_loitering,curfew_and_loitering_per_capita,runaways,runaways_per_capita,number_of_agencies,estimated_population,year
396,VIRGINIA,VIRGINIA,0,331159,43.90,7457,0.99,33083,4.39,309,0.04,370,0.05,2194,0.29,4584,0.61,4624,0.61,27101,3.59,1052,0.14,306,0.04,38256,5.07,2433,0.32,8818,1.17,1936,0.26,989,0.13,4979,0.66,4035,0.53,558,0.07,1068,0.14,32513,4.31,58,0.01,1643,0.22,27732,3.68,12885,1.71,30407,4.03,5912,0.78,111,0.01,107713,14.28,0,0.00,2854,0.38,5719,0.76,0,7543553,2008
397,WASHINGTON,WASHINGTON,1,30669,6.44,1247,0.26,8865,1.86,8,0.00,115,0.02,452,0.09,672,0.14,1515,0.32,6814,1.43,401,0.08,135,0.03,4206,0.88,61,0.01,43,0.01,6,0.00,424,0.09,2212,0.46,634,0.13,54,0.01,183,0.04,2555,0.54,0,0.00,15,0.00,488,0.10,3536,0.74,0,0.00,654,0.14,0,0.00,3838,0.81,0,0.00,48,0.01,1600,0.34,208,4761193,2008
398,WASHINGTON,WASHINGTON,0,228993,48.10,6943,1.46,32352,6.79,104,0.02,675,0.14,1637,0.34,4527,0.95,4895,1.03,25769,5.41,1412,0.30,276,0.06,26165,5.50,1567,0.33,991,0.21,147,0.03,2792,0.59,6539,1.37,2879,0.60,694,0.15,994,0.21,23440,4.92,1,0.00,691,0.15,34952,7.34,11634,2.44,3,0.00,4797,1.01,32,0.01,69732,14.65,0,0.00,48,0.01,1600,0.34,0,4761193,2008
399,WEST VIRGINIA,WEST VIRGINIA,1,2317,2.09,77,0.07,620,0.56,0,0.00,2,0.00,16,0.01,59,0.05,70,0.06,517,0.47,28,0.03,5,0.00,388,0.35,1,0.00,2,0.00,3,0.00,20,0.02,104,0.09,27,0.02,1,0.00,12,0.01,219,0.20,0,0.00,6,0.01,29,0.03,163,0.15,12,0.01,54,0.05,0,0.00,447,0.40,0,0.00,69,0.06,63,0.06,148,1109343,2008
400,WEST VIRGINIA,WEST VIRGINIA,0,41681,37.57,1280,1.15,5059,4.56,31,0.03,40,0.04,143,0.13,1066,0.96,583,0.53,4263,3.84,179,0.16,34,0.03,5643,5.09,306,0.28,731,0.66,91,0.08,204,0.18,797,0.72,268,0.24,150,0.14,112,0.10,4249,3.83,19,0.02,66,0.06,4429,3.99,1217,1.10,4264,3.84,1075,0.97,18,0.02,11571,10.43,0,0.00,69,0.06,63,0.06,0,1109343,2008
401,WISCONSIN,WISCONSIN,1,100121,18.07,1644,0.30,15265,2.76,31,0.01,156,0.03,646,0.12,811,0.15,1628,0.29,12744,2.30,767,0.14,126,0.02,3862,0.70,94,0.02,203,0.04,22,0.00,713,0.13,4157,0.75,1402,0.25,27,0.00,986,0.18,4597,0.83,49,0.01,223,0.04,573,0.10,9776,1.76,0,0.00,18662,3.37,84,0.02,26633,4.81,0,0.00,7046,1.27,4103,0.74,367,5540528,2008
402,WISCONSIN,WISCONSIN,0,411968,74.36,8050,1.45,42425,7.66,195,0.04,710,0.13,1981,0.36,5164,0.93,4664,0.84,35698,6.44,1664,0.30,399,0.07,19821,3.58,1842,0.33,6321,1.14,268,0.05,1815,0.33,10475,1.89,4997,0.90,687,0.12,2750,0.50,25075,4.53,137,0.02,2768,0.50,40549,7.32,41928,7.57,0,0.00,64868,11.71,2795,0.50,123248,22.24,0,0.00,7046,1.27,4103,0.74,0,5540528,2008
403,WYOMING,WYOMING,1,6861,12.99,73,0.14,1097,2.08,1,0.00,7,0.01,12,0.02,53,0.10,90,0.17,944,1.79,51,0.10,12,0.02,742,1.41,6,0.01,10,0.02,0,0.00,10,0.02,313,0.59,46,0.09,0,0.00,19,0.04,505,0.96,1,0.00,29,0.05,91,0.17,1231,2.33,32,0.06,226,0.43,21,0.04,1491,2.82,10,0.02,428,0.81,480,0.91,62,528009,2008
404,WYOMING,WYOMING,0,40979,77.61,633,1.20,3073,5.82,14,0.03,45,0.09,35,0.07,539,1.02,334,0.63,2592,4.91,125,0.24,22,0.04,3408,6.45,113,0.21,226,0.43,5,0.01,75,0.14,889,1.68,136,0.26,34,0.06,173,0.33,2969,5.62,7,0.01,267,0.51,7159,13.56,4617,8.74,2754,5.22,1469,2.78,34,0.06,11999,22.73,31,0.06,428,0.81,480,0.91,0,528009,2008
405,ALABAMA,ALABAMA,1,12407,NULL,697,NULL,2939,NULL,35,NULL,26,NULL,307,NULL,329,NULL,573,NULL,2221,NULL,131,NULL,14,NULL,1958,NULL,33,NULL,57,NULL,1,NULL,207,NULL,265,NULL,179,NULL,1,NULL,48,NULL,967,NULL,3,NULL,18,NULL,85,NULL,799,NULL,92,NULL,1768,NULL,21,NULL,1717,NULL,0,NULL,55,NULL,497,NULL,287,3482050,2007
