state,city,population,murder_and_nonnegligent_manslaughter,robbery,aggravated_assault,burglary,larceny_theft,motor_vehicle_theft,year,state_original,city_original,forcible_rape,violent_crimes,property_crimes,murder_and_nonnegligent_manslaughter_per_capita,robbery_per_capita,aggravated_assault_per_capita,burglary_per_capita,larceny_theft_per_capita,motor_vehicle_theft_per_capita,forcible_rape_per_capita,violent_crimes_per_capita,property_crimes_per_capita
OHIO,Upper Arlington,34838,0,7,1,86,396,19,2015,OHIO,Upper Arlington,2,10,501,0.00,0.20,0.03,2.47,11.37,0.55,0.06,0.29,14.38
OHIO,Upper Sandusky,6555,0,1,11,24,113,3,2015,OHIO,Upper Sandusky,4,16,140,0.00,0.15,1.68,3.66,17.24,0.46,0.61,2.44,21.36
OHIO,Urbana,11453,0,2,5,122,336,8,2015,OHIO,Urbana,8,15,466,0.00,0.17,0.44,10.65,29.34,0.70,0.70,1.31,40.69
OHIO,Utica,2184,0,0,0,1,14,0,2015,OHIO,Utica,1,1,15,0.00,0.00,0.00,0.46,6.41,0.00,0.46,0.46,6.87
OHIO,Valley View Cuyahoga County,2010,0,3,2,1,25,4,2015,OHIO,Valley View Cuyahoga County,2,7,30,0.00,1.49,1.00,0.50,12.44,1.99,1.00,3.48,14.93
OHIO,Vandalia,15106,0,11,9,61,262,16,2015,OHIO,Vandalia,6,26,339,0.00,0.73,0.60,4.04,17.34,1.06,0.40,1.72,22.44
OHIO,Van Wert,10755,0,2,16,65,277,1,2015,OHIO,Van Wert,12,30,343,0.00,0.19,1.49,6.04,25.76,0.09,1.12,2.79,31.89
OHIO,Vermilion,10452,0,0,4,43,117,4,2015,OHIO,Vermilion,2,6,164,0.00,0.00,0.38,4.11,11.19,0.38,0.19,0.57,15.69
OHIO,Vienna Township,3844,0,0,1,8,32,5,2015,OHIO,Vienna Township,0,1,45,0.00,0.00,0.26,2.08,8.32,1.30,0.00,0.26,11.71
OHIO,Wadsworth,21966,1,3,8,46,356,4,2015,OHIO,Wadsworth,5,17,406,0.05,0.14,0.36,2.09,16.21,0.18,0.23,0.77,18.48
OHIO,Waite Hill,466,0,0,1,0,0,0,2015,OHIO,Waite Hill,0,1,0,0.00,0.00,2.15,0.00,0.00,0.00,0.00,2.15,0.00
OHIO,Walton Hills,2242,0,0,3,5,6,4,2015,OHIO,Walton Hills,NULL,3,15,0.00,0.00,1.34,2.23,2.68,1.78,0.00,1.34,6.69
OHIO,Wapakoneta,9807,0,0,6,16,175,4,2015,OHIO,Wapakoneta,3,9,195,0.00,0.00,0.61,1.63,17.84,0.41,0.31,0.92,19.88
OHIO,Warren,40425,2,85,106,526,1043,100,2015,OHIO,Warren,31,224,1669,0.05,2.10,2.62,13.01,25.80,2.47,0.77,5.54,41.29
OHIO,Warren Township,5356,1,3,15,40,78,12,2015,OHIO,Warren Township,1,20,130,0.19,0.56,2.80,7.47,14.56,2.24,0.19,3.73,24.27
OHIO,Washington Court House,14060,0,10,18,128,485,7,2015,OHIO,Washington Court House,14,42,620,0.00,0.71,1.28,9.10,34.50,0.50,1.00,2.99,44.10
OHIO,Waterville,5515,0,0,0,6,24,1,2015,OHIO,Waterville,0,0,31,0.00,0.00,0.00,1.09,4.35,0.18,0.00,0.00,5.62
OHIO,Waterville Township,1663,0,0,1,5,8,2,2015,OHIO,Waterville Township,0,1,15,0.00,0.00,0.60,3.01,4.81,1.20,0.00,0.60,9.02
OHIO,Wauseon,7316,1,2,4,14,127,2,2015,OHIO,Wauseon,3,10,143,0.14,0.27,0.55,1.91,17.36,0.27,0.41,1.37,19.55
OHIO,Waverly,4261,1,1,5,2,95,1,2015,OHIO,Waverly,0,7,98,0.23,0.23,1.17,0.47,22.30,0.23,0.00,1.64,23.00
OHIO,Weathersfield,8091,0,3,4,39,81,8,2015,OHIO,Weathersfield,1,8,128,0.00,0.37,0.49,4.82,10.01,0.99,0.12,0.99,15.82
OHIO,Wellston,5503,1,5,2,37,115,7,2015,OHIO,Wellston,5,13,159,0.18,0.91,0.36,6.72,20.90,1.27,0.91,2.36,28.89
OHIO,Wells Township,2718,0,0,3,18,27,1,2015,OHIO,Wells Township,2,5,46,0.00,0.00,1.10,6.62,9.93,0.37,0.74,1.84,16.92
OHIO,West Alexandria,1341,0,0,2,5,25,0,2015,OHIO,West Alexandria,1,3,30,0.00,0.00,1.49,3.73,18.64,0.00,0.75,2.24,22.37
OHIO,West Carrollton,12983,0,17,7,92,253,26,2015,OHIO,West Carrollton,NULL,38,371,0.00,1.31,0.54,7.09,19.49,2.00,0.00,2.93,28.58
OHIO,West Chester Township,60365,0,17,32,188,1284,32,2015,OHIO,West Chester Township,24,73,1504,0.00,0.28,0.53,3.11,21.27,0.53,0.40,1.21,24.92
OHIO,Westerville,36009,0,8,0,81,624,5,2015,OHIO,Westerville,9,17,710,0.00,0.22,0.00,2.25,17.33,0.14,0.25,0.47,19.72
OHIO,West Jefferson,4284,0,2,0,8,85,3,2015,OHIO,West Jefferson,0,2,96,0.00,0.47,0.00,1.87,19.84,0.70,0.00,0.47,22.41
OHIO,West Lafayette,2277,0,0,2,4,16,0,2015,OHIO,West Lafayette,1,3,20,0.00,0.00,0.88,1.76,7.03,0.00,0.44,1.32,8.78
OHIO,Westlake,32358,0,8,7,48,362,26,2015,OHIO,Westlake,1,16,436,0.00,0.25,0.22,1.48,11.19,0.80,0.03,0.49,13.47
OHIO,West Liberty,1775,0,0,3,7,9,0,2015,OHIO,West Liberty,1,4,16,0.00,0.00,1.69,3.94,5.07,0.00,0.56,2.25,9.01
OHIO,West Union,3185,0,0,1,12,22,4,2015,OHIO,West Union,3,4,38,0.00,0.00,0.31,3.77,6.91,1.26,0.94,1.26,11.93
OHIO,Whitehall,18661,10,91,30,316,798,99,2015,OHIO,Whitehall,22,153,1213,0.54,4.88,1.61,16.93,42.76,5.31,1.18,8.20,65.00
OHIO,Whitehouse,4473,0,0,1,8,7,1,2015,OHIO,Whitehouse,2,3,16,0.00,0.00,0.22,1.79,1.56,0.22,0.45,0.67,3.58
OHIO,Williamsburg,2550,0,0,4,20,53,3,2015,OHIO,Williamsburg,2,6,76,0.00,0.00,1.57,7.84,20.78,1.18,0.78,2.35,29.80
OHIO,Willoughby,22495,0,10,15,68,406,12,2015,OHIO,Willoughby,2,27,486,0.00,0.44,0.67,3.02,18.05,0.53,0.09,1.20,21.60
OHIO,Wilmington,12350,1,6,8,46,494,5,2015,OHIO,Wilmington,9,24,545,0.08,0.49,0.65,3.72,40.00,0.40,0.73,1.94,44.13
OHIO,Windham,2202,0,0,5,14,28,0,2015,OHIO,Windham,4,9,42,0.00,0.00,2.27,6.36,12.72,0.00,1.82,4.09,19.07
OHIO,Wintersville,3789,0,1,2,4,58,1,2015,OHIO,Wintersville,0,3,63,0.00,0.26,0.53,1.06,15.31,0.26,0.00,0.79,16.63
OHIO,Woodlawn,3302,0,0,2,14,117,6,2015,OHIO,Woodlawn,1,3,137,0.00,0.00,0.61,4.24,35.43,1.82,0.30,0.91,41.49
OHIO,Woodmere Village,864,0,1,0,1,42,2,2015,OHIO,Woodmere Village,NULL,1,45,0.00,1.16,0.00,1.16,48.61,2.31,0.00,1.16,52.08
OHIO,Wooster,26651,2,14,23,149,637,14,2015,OHIO,Wooster,18,57,800,0.08,0.53,0.86,5.59,23.90,0.53,0.68,2.14,30.02
OHIO,Wyoming,8426,0,0,1,26,96,0,2015,OHIO,Wyoming,0,1,122,0.00,0.00,0.12,3.09,11.39,0.00,0.00,0.12,14.48
OHIO,Xenia,25970,0,20,17,144,659,14,2015,OHIO,Xenia,21,58,817,0.00,0.77,0.65,5.54,25.38,0.54,0.81,2.23,31.46
OHIO,Yellow Springs,3539,0,0,3,2,18,1,2015,OHIO,Yellow Springs,1,4,21,0.00,0.00,0.85,0.57,5.09,0.28,0.28,1.13,5.93
OHIO,Youngstown,64608,19,144,277,1144,1474,279,2015,OHIO,Youngstown,34,474,2897,0.29,2.23,4.29,17.71,22.81,4.32,0.53,7.34,44.84
OHIO,Zanesville,25337,1,16,62,179,1280,29,2015,OHIO,Zanesville,9,88,1488,0.04,0.63,2.45,7.06,50.52,1.14,0.36,3.47,58.73
OKLAHOMA,Ada,17193,0,10,90,205,452,42,2015,OKLAHOMA,Ada,7,107,699,0.00,0.58,5.23,11.92,26.29,2.44,0.41,6.22,40.66
OKLAHOMA,Allen,936,0,1,0,3,16,1,2015,OKLAHOMA,Allen,0,1,20,0.00,1.07,0.00,3.21,17.09,1.07,0.00,1.07,21.37
OKLAHOMA,Altus,19456,0,12,29,174,381,19,2015,OKLAHOMA,Altus,8,49,574,0.00,0.62,1.49,8.94,19.58,0.98,0.41,2.52,29.50
OKLAHOMA,Alva,5232,0,0,9,27,61,2,2015,OKLAHOMA,Alva,2,11,90,0.00,0.00,1.72,5.16,11.66,0.38,0.38,2.10,17.20
OKLAHOMA,Anadarko,6706,1,5,24,97,163,16,2015,OKLAHOMA,Anadarko,2,32,276,0.15,0.75,3.58,14.46,24.31,2.39,0.30,4.77,41.16
OKLAHOMA,Antlers,2322,1,1,1,26,27,3,2015,OKLAHOMA,Antlers,1,4,56,0.43,0.43,0.43,11.20,11.63,1.29,0.43,1.72,24.12
OKLAHOMA,Apache,1424,0,0,0,11,7,0,2015,OKLAHOMA,Apache,0,0,18,0.00,0.00,0.00,7.72,4.92,0.00,0.00,0.00,12.64
OKLAHOMA,Ardmore,25415,3,32,326,335,1088,73,2015,OKLAHOMA,Ardmore,12,373,1496,0.12,1.26,12.83,13.18,42.81,2.87,0.47,14.68,58.86
OKLAHOMA,Atoka,3056,2,0,8,52,70,5,2015,OKLAHOMA,Atoka,2,12,127,0.65,0.00,2.62,17.02,22.91,1.64,0.65,3.93,41.56
OKLAHOMA,Bartlesville,36668,1,14,62,160,726,55,2015,OKLAHOMA,Bartlesville,14,91,941,0.03,0.38,1.69,4.36,19.80,1.50,0.38,2.48,25.66
OKLAHOMA,Beaver,1458,0,0,0,3,8,0,2015,OKLAHOMA,Beaver,0,0,11,0.00,0.00,0.00,2.06,5.49,0.00,0.00,0.00,7.54
OKLAHOMA,Beggs,1236,0,0,1,9,7,0,2015,OKLAHOMA,Beggs,1,2,16,0.00,0.00,0.81,7.28,5.66,0.00,0.81,1.62,12.94
OKLAHOMA,Bernice,563,0,0,0,0,0,0,2015,OKLAHOMA,Bernice,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OKLAHOMA,Bethany,19704,2,25,34,131,338,76,2015,OKLAHOMA,Bethany,11,72,545,0.10,1.27,1.73,6.65,17.15,3.86,0.56,3.65,27.66
OKLAHOMA,Bixby,24816,0,2,25,93,227,38,2015,OKLAHOMA,Bixby,5,32,358,0.00,0.08,1.01,3.75,9.15,1.53,0.20,1.29,14.43
